"variable","label","mean_absolute_share","mean_signed_contribution","positive_contribution_fraction","dominant_weight_fraction","mean_dominant_share"
"ph_mean","Mean pH",0.682659409612825,13.2333040423452,0.917132611315537,0.826981389921849,0.791877705852381
"temperature_range","Temperature range",0.130902969429613,2.14750810489928,0.805216027363025,0.0712844796165776,0.626857650746294
"salinity_range","Salinity range",0.106533203448109,1.26801824588769,0.283337978933525,0.0997582793277973,0.705202994635303
"temperature_mean","Mean temperature",0.0414729279856269,0.502290734814102,0.801801950080917,0,NA
"sea_water_speed_range","Current speed range",0.0292672110605632,0.397077944291909,0.597866336073205,0.00197585113377617,0.398605118674319
"sea_water_speed_mean","Mean current speed",0.00916427846326296,0.0910657044755027,0.621105154462703,0,NA
