"cell","longitude","latitude","sdm_suitability","temperature_mean_current","temperature_range_current","salinity_range_current","ph_mean_current","sea_water_speed_mean_current","sea_water_speed_range_current","temperature_mean_future","temperature_range_future","salinity_range_future","ph_mean_future","sea_water_speed_mean_future","sea_water_speed_range_future"
393,13.5749992410107,45.7750007629395,0.824844479560852,16.9583396911621,20.0496807098389,2.11504650115967,8.13728904724121,0.0114361438900232,0.00739575549960135,18.3323459625244,22.8072662353516,3.16425275802612,8.04126739501953,0.0096122594550252,0.0101699810475111
2082,13.5249992427036,45.6750007629395,0.805537939071655,17.0581245422363,19.4524726867676,2.13608455657959,8.13835430145264,0.020188894122839,0.00857723690569402,18.4410514831543,22.1429691314697,3.2903459072113,8.04235553741455,0.0181929916143417,0.00937194284051655
2916,12.9749992613256,45.6250007629395,0.530007481575012,17.7221145629883,18.7296562194824,3.51950311660767,8.18457508087158,0.0388743095099926,0.0675142854452133,19.1092262268066,21.9494743347168,4.6792140007019,8.08945274353027,0.0355860739946365,0.0612789206206799
2926,13.4749992443965,45.6250007629395,0.767775297164917,17.1694240570068,19.2353839874268,2.15660572052002,8.14190673828125,0.02810013666749,0.0272025335580111,18.559211730957,21.8957290649414,3.35812973976135,8.04606914520264,0.0260730013251305,0.026426175609231
3769,13.3749992477823,45.5750007629395,0.705640852451324,17.4591999053955,18.9402713775635,2.621333360672,8.14793014526367,0.0433893725275993,0.0186047852039337,18.8506832122803,21.58203125,3.96465826034546,8.05230045318604,0.0406252704560757,0.0190560072660446
4612,13.2749992511682,45.5250007629395,0.695610344409943,17.722505569458,18.6583499908447,3.6882336139679,8.15845394134521,0.0439278781414032,0.0444263331592083,19.1183128356934,21.4373836517334,4.86592197418213,8.06313514709473,0.0401184111833572,0.0389666147530079
5460,13.4249992460894,45.4750007629395,0.734747290611267,17.4662666320801,18.740837097168,2.57581543922424,8.14495372772217,0.0634196624159813,0.1091423407197,18.8650970458984,21.3237781524658,3.89482378959656,8.04925632476807,0.0603793039917946,0.103276535868645
7146,13.2249992528611,45.3750007629395,0.67223060131073,17.7837257385254,18.4478988647461,4.53546094894409,8.16559982299805,0.0441753752529621,0.0170144028961658,19.2084121704102,21.1636295318604,5.60032653808594,8.07047939300537,0.0410309955477715,0.0223521515727043
7994,13.3749992477823,45.3250007629395,0.696749627590179,17.6576061248779,18.3209323883057,3.41736960411072,8.15409469604492,0.0850748717784882,0.135895118117332,19.0701274871826,20.9307117462158,4.61524820327759,8.05901622772217,0.0806097015738487,0.133384510874748
9672,12.7749992680973,45.2250007629395,0.322127014398575,17.5991687774658,18.4891872406006,6.18173313140869,8.24054431915283,0.0295848809182644,0.00458359392359853,19.0484218597412,21.6223201751709,6.94893550872803,8.14401054382324,0.0278327874839306,0.000698299030773342
9682,13.2749992511682,45.2250007629395,0.688099980354309,17.799072265625,18.2243595123291,4.52244329452515,8.16549491882324,0.0394542030990124,0.0782081410288811,19.239501953125,20.8873958587646,5.75685167312622,8.07061958312988,0.0368950888514519,0.0831553265452385
10531,13.4749992443965,45.1750007629395,0.626310646533966,17.5706920623779,17.7010173797607,2.59668731689453,8.14835834503174,0.104551337659359,0.182039886713028,18.970703125,20.365140914917,3.82385158538818,8.05341053009033,0.100193217396736,0.185248538851738
12216,13.2249992528611,45.0750007629395,0.657211363315582,17.8097343444824,18.204137802124,4.40261936187744,8.16824913024902,0.0191148594021797,0.0403729230165482,19.2598037719727,20.682487487793,5.62287759780884,8.07312297821045,0.0181034170091152,0.048099122941494
13065,13.4249992460894,45.0250007629395,0.744102358818054,17.7687740325928,17.8971710205078,3.68010544776917,8.14789009094238,0.08389563113451,0.187824457883835,19.1989517211914,20.3068523406982,5.03398942947388,8.05310916900635,0.0801033526659012,0.191739454865456
13081,14.2249992190028,45.0250007629395,0.532133936882019,17.5864906311035,15.5929746627808,1.5963773727417,8.11599731445312,0.0116266002878547,0.0239144694060087,18.992748260498,18.6821670532227,2.71119952201843,8.02133560180664,0.00816164631396532,0.0165620464831591
14750,13.174999254554,44.9250007629395,0.626322507858276,17.8216667175293,17.8819789886475,4.71198081970215,8.17189025878906,0.0188762117177248,0.0447918623685837,19.2749919891357,20.1610660552979,5.31830883026123,8.07619476318359,0.0205761808902025,0.043936662375927
15598,13.3249992494752,44.8750007629395,0.663546562194824,17.896520614624,17.618371963501,4.3703875541687,8.16085529327393,0.0305862575769424,0.0955907627940178,19.3402576446533,19.9270324707031,5.56585264205933,8.06589603424072,0.0313103310763836,0.107745140790939
16432,12.7749992680973,44.8250007629395,0.364143192768097,17.3915615081787,18.4981327056885,8.66956424713135,8.24244785308838,0.0532974191009998,0.0377389155328274,18.8545055389404,21.2305908203125,9.89863204956055,8.1431999206543,0.0550255142152309,0.0369314178824425
16446,13.4749992443965,44.8250007629395,0.678852438926697,17.8856639862061,17.0225429534912,3.71075010299683,8.14501476287842,0.0520455054938793,0.148292437195778,19.3090343475342,19.4192276000977,5.07063055038452,8.05113887786865,0.0488331392407417,0.156942024827003
17293,13.5749992410107,44.7750007629395,0.60852062702179,17.8752307891846,16.3892040252686,3.45658183097839,8.14219665527344,0.0537084713578224,0.130967244505882,19.2862205505371,18.9121704101562,4.6144962310791,8.04862308502197,0.0492798052728176,0.145810455083847
18960,12.4249992799477,44.6750007629395,0.324128061532974,17.4810924530029,19.6678161621094,7.83678674697876,8.26222038269043,0.0246998462826014,0.0115567902103066,18.929479598999,22.3856830596924,9.01286125183105,8.16374206542969,0.0231287907809019,0.000364744570106268
18975,13.174999254554,44.6750007629395,0.627517342567444,17.8543567657471,17.3569831848145,4.81987428665161,8.164137840271,0.0172341912984848,0.0269358567893505,19.2806148529053,19.7543659210205,5.60644197463989,8.06833076477051,0.0175492875277996,0.0405493788421154
19824,13.3749992477823,44.6250007629395,0.635973453521729,18.0083866119385,16.6188583374023,4.42514944076538,8.14595603942871,0.0155245829373598,0.0104978363960981,19.4260177612305,19.3414764404297,5.32421779632568,8.05153656005859,0.0140643548220396,0.0149684390053153
20670,13.4249992460894,44.5750007629395,0.647297143936157,18.0488052368164,16.4451923370361,4.38974094390869,8.14036560058594,0.0156786795705557,0.00207340950146317,19.4593391418457,19.2022972106934,5.24594736099243,8.0464506149292,0.0136580374091864,0.00230076722800732
20687,14.2749992173099,44.5750007629395,0.431480169296265,17.871036529541,15.129958152771,2.31464576721191,8.12485885620117,0.0711727812886238,0.012627930380404,19.2820167541504,17.9243316650391,3.51923871040344,8.03335857391357,0.0597405694425106,0.0177972335368395
21514,13.3749992477823,44.5250007629395,0.623833000659943,18.0875358581543,16.4614925384521,4.37752485275269,8.14312648773193,0.0180574432015419,0.00348563445731999,19.5060710906982,19.1398448944092,5.13834857940674,8.04860782623291,0.0164622385054827,0.00337621290236712
22359,13.3749992477823,44.4750007629395,0.618467330932617,18.1112327575684,16.4177188873291,4.35669946670532,8.14258098602295,0.0195160172879696,0.00368385249748825,19.5301818847656,19.0677089691162,5.10149621963501,8.04802989959717,0.0181476678699255,0.00563696725293994
23197,13.0249992596327,44.4250007629395,0.588795185089111,17.9683246612549,17.5726928710938,6.35476303100586,8.18162441253662,0.0201631393283606,0.0169204659759998,19.3913478851318,19.8450946807861,7.9364185333252,8.08331680297852,0.0220630932599306,0.00893329549580812
24046,13.2249992528611,44.3750007629395,0.661147475242615,18.1494941711426,16.9000186920166,5.33535623550415,8.15251731872559,0.0251775328069925,0.0290707517415285,19.5733451843262,19.2475414276123,6.52405118942261,8.05633640289307,0.0264020077884197,0.0542132928967476
24878,12.5749992748689,44.3250007629395,0.334532290697098,17.5345706939697,19.3280792236328,6.18319749832153,8.2501974105835,0.0678577348589897,0.0687828585505486,18.9826354980469,21.9891757965088,7.21825170516968,8.15121555328369,0.0708750709891319,0.0811365693807602
24895,13.4249992460894,44.3250007629395,0.613734602928162,18.2619171142578,16.1681900024414,3.84152626991272,8.13630962371826,0.0261506270617247,0.069381482899189,19.6812152862549,18.8017807006836,4.46005964279175,8.04178810119629,0.0248616822063923,0.0745954364538193
26485,8.42499941538071,44.2250007629395,0.383749544620514,18.3117599487305,13.0452632904053,0.91828727722168,8.08755493164062,0.0271685793995857,0.0944499894976616,19.5021572113037,15.2479972839355,1.62117874622345,8.00454902648926,0.0303663015365601,0.0892165079712868
26584,13.3749992477823,44.2250007629395,0.619089961051941,18.2971420288086,16.6234035491943,4.11527442932129,8.14360809326172,0.0243235342204571,0.0584248192608357,19.7073383331299,19.0938777923584,4.81675672531128,8.0481595993042,0.0241355132311583,0.0618613176047802
27434,13.6249992393178,44.1750007629395,0.607780754566193,18.3755760192871,16.2492237091064,3.46635365486145,8.13076972961426,0.0172717124223709,0.0374551340937614,19.7754898071289,18.6335849761963,4.08116579055786,8.03745937347412,0.0159415733069181,0.0647698640823364
27438,13.8249992325461,44.1750007629395,0.586618781089783,18.394832611084,16.0566463470459,2.92305612564087,8.12385845184326,0.0195522047579288,0.0429457165300846,19.8060665130615,18.3188190460205,3.81088137626648,8.03186893463135,0.016265545040369,0.0592687837779522
