"scientificName","longitude","latitude","eventDate"
"Engraulis encrasicolus",0.75,40.17,"1995-05-09"
"Engraulis encrasicolus",34.883394,32.537222,"1993-04-23"
"Engraulis encrasicolus",34.716667,32.016667,NA
"Engraulis encrasicolus",-0.06,39.64,"1996-05-26"
"Engraulis encrasicolus",3.17,42.6875,"1983-06-07"
"Engraulis encrasicolus",2.375,39.6333,"1996-06"
"Engraulis encrasicolus",0.9,40.23,"1910-08-31T03:50:00"
"Engraulis encrasicolus",16.285333333,43.043833333,"1996-07-15"
"Engraulis encrasicolus",-0.45,36.05,"1910-06-25T22:30:00"
"Engraulis encrasicolus",12.3774,45.3867,"1957"
"Engraulis encrasicolus",1.6558,39.0486,"1999-12-08"
"Engraulis encrasicolus",34.733333,32.05,NA
"Engraulis encrasicolus",0.95,40.32,"2000-06-19"
"Engraulis encrasicolus",12.9377,45.0629,"1925"
"Engraulis encrasicolus",1.13999998569489,40.5999984741211,"1967"
"Engraulis encrasicolus",5,40,NA
"Engraulis encrasicolus",2.76999998092651,41.5299987792969,"1962"
"Engraulis encrasicolus",16.03558559,42.72938396,"1995"
"Engraulis encrasicolus",11.3830003738,35.9169998169,"2001-03-10T12:00:00Z"
"Engraulis encrasicolus",34.767952,32.158012,"2009-08-06"
"Engraulis encrasicolus",13.6,40.57,"1910-08-24T19:45:00"
"Engraulis encrasicolus",-0.57,37.93,"2006-06-11"
"Engraulis encrasicolus",14.53,36,"1911-08-05T20:45:00"
"Engraulis encrasicolus",1.32,41.1,"1996-05-17"
"Engraulis encrasicolus",10.7329998016,36.1800003052,"1999-07-24T12:00:00Z"
"Engraulis encrasicolus",0.01,38.53,"2002-06-13"
"Engraulis encrasicolus",-4.42,36.55,"1910-09-06T17:35:00"
"Engraulis encrasicolus",1.26,40.3,"1994-06-14"
"Engraulis encrasicolus",16.375667,43.526667,"1973-05-22"
"Engraulis encrasicolus",10.47,37.28,"1910-07-16T00:55:00"
"Engraulis encrasicolus",16.03558559,42.72938396,"1998"
"Engraulis encrasicolus",1,40.04,"2003-05-11"
"Engraulis encrasicolus",3.25,42.19,"1997-05-27"
"Engraulis encrasicolus",16.285333333,43.043833333,"1985-06-14"
"Engraulis encrasicolus",0.23,38.79,"1998-05-19"
"Engraulis encrasicolus",3.34999990463257,41.75,"1963"
"Engraulis encrasicolus",0.98,40.04,"1997-05-25"
"Engraulis encrasicolus",3.4133,39.9592,"2007-07-23"
"Engraulis encrasicolus",16.285333333,43.043833333,"1977-04-27"
"Engraulis encrasicolus",1.13999998569489,40.5999984741211,"1968"
"Engraulis encrasicolus",16.285333333,43.043833333,"2000-09-09"
"Engraulis encrasicolus",16.285333333,43.043833333,"1962-08-08"
"Engraulis encrasicolus",10.6040000916,36.2299995422,"1999-07-24T12:00:00Z"
"Engraulis encrasicolus",1.04,40.42,"2002-06-03"
"Engraulis encrasicolus",3.46000003814697,41.8400001525879,"1967"
"Engraulis encrasicolus",24.433,40.8,NA
"Engraulis encrasicolus",1.8,41.13,"1998-05-26"
"Engraulis encrasicolus",16.285333333,43.043833333,"1963-05-04"
"Engraulis encrasicolus",16.03558559,42.72938396,"1970"
"Engraulis encrasicolus",16.03558559,42.72938396,"2012"
"Engraulis encrasicolus",1.36,41.01,"2006-06-05"
"Engraulis encrasicolus",1.05,40.43,"1995-05-10"
"Engraulis encrasicolus",15.12,35.73,"1910-07-22T03:40:00"
"Engraulis encrasicolus",0.74,40.16,"1998-05-29"
