"class","proportion","count"
"Limited niche relative change",0,0
"Closer to current niche",0,0
"Farther from current niche",0.878238025040798,9147
"Outside current niche boundary",0.0880985002362586,914
"Climatic Reconfiguration with limited Niche Distance Shift",0.0336634747229431,313
