"profile","exposure","exposure_direction","criterion","ranked_cells","pareto_fronts","first_front_cells","first_front_fraction","objective_rank_correlation"
"Positive Niche Distance Shift","Niche Distance Shift","maximize","Current SDM suitability",13495,265,18,0.00133382734346054,0.13466931008483
"Low Climatic Displacement","Climatic Displacement","minimize","Current SDM suitability",13584,212,30,0.00220848056537102,-0.133415783541896
